product name	time	likes	dislikes	pos-comments	neg-comments	flip-buyers	am-buyers	hashtags	cost	category	sub category	brand	discount	stock	url	ratings	viewers	ads	score	R	N	W
Women Solid Flared Black Skirt	1	2599	1713	634	2095	20479	11457	8441	233	Fashion	Women	Kotty	891	10	https://www.flipkart.com/kotty-solid-women-flared-black-skirt/p/itmad404a0e69a71?pid=SKIGC9AYXXXPMFHF&lid=LSTSKIGC9AYXXXPMFHFGATGRM&marketplace=FLIPKART&store=clo%2Fvua%2Fiku%2Fw5t&srno=b_1_12&otracker=browse&fm=organic&iid=en_zNThwLfpFDn0MqPtx6lgK%2BOGc%2F%2BVuQwmQ3bQLWP8PGBk9M6cssJUzR%2FEPWjH%2Ft5wn36KEsoSJkKFSYzis6WafA%3D%3D&ppt=browse&ppn=browse&ssid=w49c4p3jiltnphj41659068877323	4889	14370	5	4.994376495	5.444296965	67806	0.418421248
Solid Women Black Denim Shorts	3	4659	2383	9886	2319	24625	13793	6850	1026	Fashion	Women	Roadster	955	10	https://www.flipkart.com/roadster-solid-women-black-denim-shorts/p/itmcd3c005f56f0d?pid=SRTFTRFN8YVGZGRK&lid=LSTSRTFTRFN8YVGZGRK4VCWQA&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_6&otracker=browse&fm=organic&iid=bcf97038-68c4-4d88-ba59-66bdb5a7c238.SRTFTRFN8YVGZGRK.SEARCH&ppt=pp&ppn=pp&ssid=vcwzg7bewrznu3gg1659069038197	9204	31089	4	5.009566512	5.186426077	106793	0.659004517
Women Sheath Black Dress	3	6321	3543	5906	876	1571	3510	4270	1371	Fashion	Women	Selvia	184	10	https://www.flipkart.com/selvia-women-sheath-black-dress/p/itm33d22dab2dba7?pid=DREGAC3Z82GZEAZY&lid=LSTDREGAC3Z82GZEAZYOEOWFL&marketplace=FLIPKART&store=clo%2Fodx%2Fmaj%2Fjhy&srno=b_1_9&otracker=browse&fm=organic&iid=cfb3824c-2017-4e72-a193-54bba3af90b5.DREGAC3Z82GZEAZY.SEARCH&ppt=pp&ppn=pp&ssid=223c3trk37xryolc1659069210846	7218	37193	3	4.238839158	3.704360392	71966	0.44409202
Full Sleeve Graphic Print Women Sweatshirt	4	2457	735	6800	2248	23632	4656	1711	1251	Fashion	Women	MONTREZ	375	10	https://www.flipkart.com/puma-full-sleeve-graphic-print-women-sweatshirt/p/itmb112ac43ec3e5?pid=SWSFUR4RMRPRWSKZ&lid=LSTSWSFUR4RMRPRWSKZ4XGINQ&marketplace=FLIPKART&store=clo%2Fqvw&srno=b_1_1&otracker=browse&fm=organic&iid=en_%2BE6T0nIf8XNW7psWo5FsxYhnFCv5EGgVKRRYLnt47iSb44%2FGkDZJJzbP0vx4xP%2F%2BSpjnmJPtxcSzXktY1V3SzA%3D%3D&ppt=browse&ppn=browse&ssid=cr4na17ck00000001659114729059	7837	26695	7	4.908816297	5.164188052	78404	0.483820008
Full Sleeve Solid Women Denim Jacket	2	5301	1959	7171	2311	4451	14878	1361	578	Fashion	Women	MONTREZ	172	10	https://www.flipkart.com/montrez-full-sleeve-solid-women-denim-jacket/p/itmfac847c43113b?pid=JCKFTUU3C9YWSPGC&lid=LSTJCKFTUU3C9YWSPGCTTIASA&marketplace=FLIPKART&store=clo%2Fqvw&srno=b_1_7&otracker=browse&fm=organic&iid=f178fde8-6d75-4d4c-abc8-0c70e2d5851d.JCKFTUU3C9YWSPGC.SEARCH&ppt=browse&ppn=browse	5119	28562	10	4.608564326	4.534526178	71873	0.44351813
Full Sleeve Self Design Women Jacket	3	2364	2479	11094	578	15680	13255	5071	995	Fashion	Women	DARZI	323	10	https://www.flipkart.com/darzi-full-sleeve-self-design-women-jacket/p/itm4f94d24b79312?pid=JCKFNNJR3BSSD47B&lid=LSTJCKFNNJR3BSSD47BPTUEPI&marketplace=FLIPKART&store=clo%2Fqvw&srno=b_1_10&otracker=browse&fm=organic&iid=f178fde8-6d75-4d4c-abc8-0c70e2d5851d.JCKFNNJR3BSSD47B.SEARCH&ppt=browse&ppn=browse	11621	20892	3	5.102484853	5.502602098	84355	0.520542789
Full Sleeve Solid Women Sweatshirt	1	6886	3369	8904	2414	6217	8096	2977	853	Fashion	Women	JUNEBERRY	381	10	https://www.flipkart.com/juneberry-full-sleeve-solid-women-sweatshirt/p/itmba2931afb73ef?pid=SWSFZEATFGEZBEUJ&lid=LSTSWSFZEATFGEZBEUJJ6KFKP&marketplace=FLIPKART&store=clo%2Fqvw&srno=b_2_57&otracker=browse&fm=organic&iid=6af874c8-24fd-4e0e-9dc5-1bcbc0b6ec48.SWSFZEATFGEZBEUJ.SEARCH&ppt=browse&ppn=browse	14735	43564	9	4.403708902	4.234784818	98405	0.607243354
Solid Women Dark Green Sports Shorts	1	7622	3049	518	1068	21271	2679	6501	682	Fashion	Women	Cultsport	357	10	https://www.flipkart.com/cultsport-solid-women-dark-green-sports-shorts/p/itm3a99a02f5e9bb?pid=SRTG5C8VNZKJAZCA&lid=LSTSRTG5C8VNZKJAZCATB3LAO&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_1&otracker=browse&fm=organic&iid=en_ZKUwVEB6Pb5hi0wRHHC2uVz8NsNmHpySSDvf5PzwkDptB6uN9I%2BuJh4mvyMa1%2F4cqQpiG8hD0N%2FEJSpCXWFcmw%3D%3D&ppt=browse&ppn=browse&ssid=0dgx9ys0bk0000001659114952346	8883	31397	9	4.689091161	4.710029035	84036	0.518574285
Printed Women Black Regular Shorts	1	2618	2274	8996	838	19781	1583	8501	808	Fashion	Women	FOREVER 21	224	10	https://www.flipkart.com/forever-21-printed-women-black-regular-shorts/p/itme0d224ee09f5d?pid=SRTGB9RCRUGZ2YVF&lid=LSTSRTGB9RCRUGZ2YVFUAT24A&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_16&otracker=browse&fm=organic&iid=eab59546-078f-4c2b-93d7-042efc8caf6c.SRTGB9RCRUGZ2YVF.SEARCH&ppt=browse&ppn=browse	6662	23786	0	4.835090806	5.025791695	76071	0.469423395
Solid Women Blue Hotpants	3	2522	3358	3721	2385	16321	14488	9679	1090	Fashion	Women	Urbanic	951	10	https://www.flipkart.com/urbanic-solid-women-blue-hotpants/p/itm1c150fe4f9322?pid=SRTG5YP3HNQFPDZ6&lid=LSTSRTG5YP3HNQFPDZ6Q0E5II&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_6_203&otracker=browse&fm=organic&iid=d6b3f566-75b8-42ad-be76-98572b301c54.SRTG5YP3HNQFPDZ6.SEARCH&ppt=browse&ppn=browse	8581	34826	0	4.710759203	4.740742632	97922	0.604262829
"Embellished Fashion Georgette, Pure Silk Saree"	2	7141	2804	10780	731	7647	13862	7216	1447	Fashion	Ethnic	Cartyshop	726	10	https://www.flipkart.com/cartyshop-embellished-fashion-georgette-pure-silk-saree/p/itmbd04f661f04e3?pid=SARG5SYYPKRCZFCV&lid=LSTSARG5SYYPKRCZFCVR2MPUI&marketplace=FLIPKART&store=clo&srno=b_1_6&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Women%2BEthnic_HQXTE43PO8HC&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L1_view-all&fm=organic&iid=3f4bc3bf-5283-43e8-ad0f-ae361bb4d15a.SARG5SYYPKRCZFCV.SEARCH&ppt=browse&ppn=browse&ssid=1uehsbwmww0000001659116424078	10247	23776	10	4.828975569	4.972877864	86387	0.533081974
Embroidered Fashion Pure Silk Saree	4	9731	2494	6491	999	11069	3070	2102	1574	Fashion	Ethnic	Nimidiya	252	10	https://www.flipkart.com/nimidiya-embroidered-fashion-pure-silk-saree/p/itma8124ce7891b8?pid=SARG3TWNGNZCW3HE&lid=LSTSARG3TWNGNZCW3HE6DFEVQ&marketplace=FLIPKART&store=clo&srno=b_1_18&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Women%2BEthnic_HQXTE43PO8HC&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L1_view-all&fm=organic&iid=3f4bc3bf-5283-43e8-ad0f-ae361bb4d15a.SARG3TWNGNZCW3HE.SEARCH&ppt=browse&ppn=browse	9037	21618	3	4.63752681	4.602030976	68440	0.422333572
Women Embroidered Cotton Blend Straight Kurta	4	9596	426	7440	416	12992	14981	5927	1499	Fashion	Ethnic	KSHARAA	414	10	https://www.flipkart.com/ksharaa-women-embroidered-straight-kurta/p/itmf68g3ygvjdjjk?pid=KTAF68385ZGMYFTP&lid=LSTKTAF68385ZGMYFTPPFSYCP&marketplace=FLIPKART&store=clo&srno=b_3_82&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Women%2BEthnic_HQXTE43PO8HC&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L1_view-all&fm=organic&iid=ff5c1228-82c9-4bfb-83ce-0991bd2ea1ad.KTAF68385ZGMYFTP.SEARCH&ppt=browse&ppn=browse	14553	31864	6	5.058033349	5.301985736	100114	0.617789352
Women Printed Viscose Rayon Straight Kurta (Black)	1	5778	549	10403	2393	15615	16881	4489	1353	Fashion	Ethnic	Lamba Creations	525	10	https://www.flipkart.com/lamba-creations-women-printed-straight-kurta/p/itm7ef7df8af6215?pid=KTAGAM87ZRR5BQGG&lid=LSTKTAGAM87ZRR5BQGGN8DAMI&marketplace=FLIPKART&store=clo&srno=b_3_105&otracker=hp_rich_navigation_3_1.navigationCard.RICH_NAVIGATION_Fashion~Women%2BEthnic_HQXTE43PO8HC&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L1_view-all&fm=organic&iid=ff5c1228-82c9-4bfb-83ce-0991bd2ea1ad.KTAGAM87ZRR5BQGG.SEARCH&ppt=browse&ppn=browse	4614	35615	6	4.868199353	5.00271836	98221	0.606107916
Men Striped Pure Cotton Straight Kurta	4	205	2267	7449	2073	20258	17857	6596	1405	Fashion	Ethnic	Svatantra	811	10	https://www.flipkart.com/svatantra-men-striped-straight-kurta/p/itm917c3825cd193?pid=KTAGFDBWFVRYDMYZ&lid=LSTKTAGFDBWFVRYDMYZFAJKVP&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_2&otracker=browse&fm=organic&iid=en_KAfL7SNJfzdEIaGeF00AaD1qcmARkC4jR4D2MIuWaRl6NO21a4UPjrqewFgPo%2BO8CdNMR2IMeJN4160OSld7sQ%3D%3D&ppt=browse&ppn=browse&ssid=kxikfv9gbk0000001659116589283	6964	25333	0	5.043598672	5.341588283	91218	0.562893392
Men Striped Cotton Blend Straight Kurta	2	5678	2445	10240	2358	16167	14458	7545	1318	Fashion	Ethnic	FUBAR	554	10	https://www.flipkart.com/svatantra-men-striped-straight-kurta/p/itm917c3825cd193?pid=KTAGFDBWFVRYDMYZ&lid=LSTKTAGFDBWFVRYDMYZFAJKVP&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_2&otracker=browse&fm=organic&iid=en_KAfL7SNJfzdEIaGeF00AaD1qcmARkC4jR4D2MIuWaRl6NO21a4UPjrqewFgPo%2BO8CdNMR2IMeJN4160OSld7sQ%3D%3D&ppt=browse&ppn=browse&ssid=kxikfv9gbk0000001659116589283	2772	12607	3	4.943017433	5.265532865	76145	0.469880039
Solid Men Dhoti	4	8639	1113	1691	1497	17591	4119	7967	1598	Fashion	Ethnic	GREEN TEE	965	10	https://www.flipkart.com/green-tee-solid-men-dhoti/p/itmb1c56cbb1aa40?pid=DHTFJ36VAG87UEGD&lid=LSTDHTFJ36VAG87UEGDSZ3ZFK&marketplace=FLIPKART&store=clo%2Fcfv%2Fnnk&srno=b_1_7&otracker=browse&fm=organic&iid=6136fc90-30c5-4138-ab7b-da54b840cdb6.DHTFJ36VAG87UEGD.SEARCH&ppt=browse&ppn=browse&ssid=vwvur1ego00000001659116738860	3418	39458	0	4.51797684	4.403061688	88056	0.543381137
"Solid, Embroidered Sherwani"	1	5080	2937	6874	1140	19656	1582	2636	1424	Fashion	Ethnic	SG RAJASAHAB	922	10	https://www.flipkart.com/rudrshri-solid-sherwani/p/itm6fa6ad0584ea5?pid=SRWGES3HZF4Z9YSH&lid=LSTSRWGES3HZF4Z9YSHJAL5SB&marketplace=FLIPKART&store=clo%2Fcfv%2Fdra%2Fbrt&srno=b_1_1&otracker=browse&fm=organic&iid=en_eJrmPRvUnIxXqy5vZAejbuIVB5hF%2B7CEyYdFJd9beCmcjSVl3j%2BAbYx%2F8Go42XvNsAp8wbFRtU7UGQdCTc%2BUvQ%3D%3D&ppt=browse&ppn=browse&ssid=55036p2txc0000001659162326638	11216	39519	0	4.598424608	4.555857871	92986	0.57380347
Festive Design Solid Sherwani	2	6990	3179	5614	871	3530	16725	4860	1392	Fashion	Ethnic	RIYAZ GANGJI LIBAS	204	10	https://www.flipkart.com/riyaz-gangji-libas-festive-design-solid-sherwani/p/itm8c937ce7007cb?pid=SRWG7BCTYGVFGJUB&lid=LSTSRWG7BCTYGVFGJUBAN68ZR&marketplace=FLIPKART&store=clo%2Fcfv%2Fdra%2Fbrt&srno=b_1_27&otracker=browse&fm=organic&iid=en_nBAuNo141G0zma3yFgcCBs%2FQLeTgstHTJyD5GnMu3lJuwtrNz8rme9Je%2FR%2Bt5iH89VWgKIDvByFIA09JDaj1Zg%3D%3D&ppt=browse&ppn=browse	14684	12036	7	4.926308581	5.28077384	70092	0.432527831
"Regular Fit Girls White, Blue Cotton Silk Trousers"	1	3263	1375	11203	1397	20635	13055	1234	1326	Fashion	Ethnic	Mrkbox	583	10	https://www.flipkart.com/mrkbox-regular-fit-girls-white-blue-trousers/p/itmd03a56e096910?pid=TROGG7HKZDTYGCYU&lid=LSTTROGG7HKZDTYGCYUBRURSJ&marketplace=FLIPKART&store=clo%2Fcfv%2F7po&srno=b_1_1&otracker=browse&fm=organic&iid=en_xIRcO9nNoMuK2g0FnVvf1xG0qOxQiRveBN1XiqW0IDc1RH5XlByOM83%2B5FdEC0pyZ%2BtzfmTb9%2FGU32Mfp5vMnw%3D%3D&ppt=browse&ppn=browse&ssid=hp97bd3t9c0000001659116835955	5065	44514	9	4.835328202	4.937689926	103659	0.639665046
Arrow Blk Arrow Boys Mens Black Wrist Watch For Boys Analog Watch - For Men	2	6680	3395	5738	1361	15519	15781	280	541	Fashion	Accessories	Daniel Jubile	870	10	https://www.flipkart.com/daniel-jubile-arrow-boys-mens-black-wrist-watch-analog-men/p/itmf727764f51414?pid=WATFNVGWZCTFUSHG&lid=LSTWATFNVGWZCTFUSHGIQUSKK&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_5&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L1_view-all&fm=organic&iid=cb08e0d4-cd43-445f-8700-b098f95bf164.WATFNVGWZCTFUSHG.SEARCH&ppt=browse&ppn=browse&ssid=yqh8atbgvj5jmcjk1659117915306	6285	12946	3	4.966164775	5.384976729	69399	0.428251425
38024PP25 Minimalists Analog Watch - For Men	3	8161	1045	10863	1070	9773	2452	4750	750	Fashion	Accessories	Fastrack	388	10	https://www.flipkart.com/fastrack-minimalists-analog-watch-men/p/itmf3zhmxfzubhhq?pid=WATF2VTY73GHJ4PY&lid=LSTWATF2VTY73GHJ4PYCHX8J2&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_10&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_7_L1_view-all&fm=organic&iid=cb08e0d4-cd43-445f-8700-b098f95bf164.WATF2VTY73GHJ4PY.SEARCH&ppt=browse&ppn=browse	4980	14247	2	4.741016193	4.903113832	58481	0.36087799
Men Tan Artificial Leather Money Clip - Mini (6 Card Slots)	2	4044	176	8337	1675	9669	2371	7133	617	Fashion	Accessories	SAMTROH	834	10	https://www.flipkart.com/samtroh-men-tan-artificial-leather-money-clip/p/itmf3zexh6cfq3sa?pid=WCWFYXWCPMHRGYGH&lid=LSTWCWFYXWCPMHRGYGHL64OYJ&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_7&otracker=nmenu_sub_Men_0_Wallets&fm=organic&iid=d44bb402-0ffd-42ea-80c5-f4b66965afc4.WCWFYXWCPMHRGYGH.SEARCH&ppt=browse&ppn=browse&ssid=cxrgh3frw0r526tc1659118030093	9200	36323	5	4.567798423	4.485855394	80384	0.496038309
Men Brown Genuine Leather RFID Wallet - Regular Size (9 Card Slots)	2	8667	1856	10537	896	23919	16350	1654	169	Fashion	Accessories	WILDHORN	767	10	https://www.flipkart.com/wildhorn-men-brown-genuine-leather-wallet/p/itm265b0295086bb?pid=WCWFJKQ8YHYFZBYC&lid=LSTWCWFJKQ8YHYFZBYCDELEGH&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_14&otracker=nmenu_sub_Men_0_Wallets&fm=organic&iid=d44bb402-0ffd-42ea-80c5-f4b66965afc4.WCWFJKQ8YHYFZBYC.SEARCH&ppt=browse&ppn=browse&ssid=cxrgh3frw0r526tc1659118030093	2906	33561	10	5.050474548	5.291227343	101292	0.625058623
Men Brown Genuine Leather Wallet - Mini	3	3179	2674	2180	1476	7572	5263	7255	529	Fashion	Accessories	PETER ENGLAND	960	10	https://www.flipkart.com/peter-england-men-brown-genuine-leather-wallet/p/itmc3081001021eb?pid=WCWG5C86URZVPZDA&lid=LSTWCWG5C86URZVPZDA52FDX5&marketplace=FLIPKART&store=reh%2Fcca%2Fh76&srno=b_1_33&otracker=nmenu_sub_Men_0_Wallets&fm=organic&iid=d44bb402-0ffd-42ea-80c5-f4b66965afc4.WCWG5C86URZVPZDA.SEARCH&ppt=browse&ppn=browse&ssid=cxrgh3frw0r526tc1659118030093	2600	30064	10	4.380582982	3.970703554	63762	0.393466295
Sterling Silver Dual Ring Pendant with Chain Rhodium Sterling Silver Pendant	3	2987	1428	6328	1746	16765	1921	4382	279	Fashion	Accessories	GIVA	287	10	https://www.flipkart.com/giva-sterling-silver-dual-ring-pendant-chain-rhodium/p/itm22511fe0368d6?pid=PELG9VFHXF3G6JQA&lid=LSTPELG9VFHXF3G6JQAXN9DTD&marketplace=FLIPKART&store=mcr%2Ftfz&srno=b_1_17&otracker=nmenu_sub_Women_0_Silver%20Jewellery&fm=organic&iid=en_9QK7q1NQl5Tnw7M0BeFWYTQ5oIMwA8tbwD%2BfqTzcDrgul64FRHmHvO%2Bd6OaGS3I1Su%2BkqWT%2FkP3ARNFGwoFG4Q%3D%3D&ppt=browse&ppn=browse	5306	25523	8	4.695735564	4.761723417	66960	0.413200701
